Period,Type 1,Item,Type 2,Nutrient,Value
Apr-17,Statistic,NVS Contribution,Macro,PROTEIN (g),1.0
Apr-17,Statistic,Percentage Supplied,Macro,PROTEIN (g),1.3460293067314286
Apr-17,Statistic,Nutritional Content,Macro,FAT    (g),40.568182280399995
Apr-17,Statistic,Nutritional Requirement,Macro,FAT    (g),40.0
Apr-17,Statistic,Nutritional Shortfall,Macro,FAT    (g),0.0
Apr-17,Statistic,NVS Contribution,Macro,FAT    (g),1.0
Apr-17,Statistic,Percentage Supplied,Macro,FAT    (g),1.0142045570099998
Apr-17,Statistic,Nutritional Content,Micro,CALCIUM (mg),450.0000008200001
Apr-17,Statistic,Nutritional Requirement,Micro,CALCIUM (mg),450.0
Apr-17,Statistic,Nutritional Shortfall,Micro,CALCIUM (mg),0.0
Apr-17,Statistic,NVS Contribution,Micro,CALCIUM (mg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,CALCIUM (mg),1.0000000018222224
Apr-17,Statistic,Nutritional Content,Micro,IRON (mg),24.997667872
Apr-17,Statistic,Nutritional Requirement,Micro,IRON (mg),22.0
Apr-17,Statistic,Nutritional Shortfall,Micro,IRON (mg),0.0
Apr-17,Statistic,NVS Contribution,Micro,IRON (mg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,IRON (mg),1.1362576305454546
Apr-17,Statistic,Nutritional Content,Micro,IODINE (µg),327.28961796
Apr-17,Statistic,Nutritional Requirement,Micro,IODINE (µg),150.0
Apr-17,Statistic,Nutritional Shortfall,Micro,IODINE (µg),0.0
Apr-17,Statistic,NVS Contribution,Micro,IODINE (µg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,IODINE (µg),2.1819307863999997
Apr-17,Statistic,Nutritional Content,Micro,VIT. A (µg RE),738.538241552
Apr-17,Statistic,Nutritional Requirement,Micro,VIT. A (µg RE),500.0
Apr-17,Statistic,Nutritional Shortfall,Micro,VIT. A (µg RE),0.0
Apr-17,Statistic,NVS Contribution,Micro,VIT. A (µg RE),1.0
Apr-17,Statistic,Percentage Supplied,Micro,VIT. A (µg RE),1.4770764831040002
Apr-17,Statistic,Nutritional Content,Micro,THIAMINE (mg),3.08219640284
Apr-17,Statistic,Nutritional Requirement,Micro,THIAMINE (mg),0.9
Apr-17,Statistic,Nutritional Shortfall,Micro,THIAMINE (mg),0.0
Apr-17,Statistic,NVS Contribution,Micro,THIAMINE (mg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,THIAMINE (mg),3.4246626698222222
Apr-17,Statistic,Nutritional Content,Micro,RIBOFLAVIN (mg),2.1078207042
Apr-17,Statistic,Nutritional Requirement,Micro,RIBOFLAVIN (mg),1.4
Apr-17,Statistic,Nutritional Shortfall,Micro,RIBOFLAVIN (mg),0.0
Apr-17,Statistic,NVS Contribution,Micro,RIBOFLAVIN (mg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,RIBOFLAVIN (mg),1.5055862172857144
Apr-17,Statistic,Nutritional Content,Micro,NIACIN (mg),31.424865803800003
Apr-17,Statistic,Nutritional Requirement,Micro,NIACIN (mg),13.86
Apr-17,Statistic,Nutritional Shortfall,Micro,NIACIN (mg),0.0
Apr-17,Statistic,NVS Contribution,Micro,NIACIN (mg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,NIACIN (mg),2.267306335050505
Apr-17,Statistic,Nutritional Content,Micro,VIT. C (mg),63.84161796
Apr-17,Statistic,Nutritional Requirement,Micro,VIT. C (mg),28.0
Apr-17,Statistic,Nutritional Shortfall,Micro,VIT. C (mg),0.0
Apr-17,Statistic,NVS Contribution,Micro,VIT. C (mg),1.0
Apr-17,Statistic,Percentage Supplied,Micro,VIT. C (mg),2.2800577842857144
