Origin Country,Specific Commodity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ETHIOPIA,RED BEANS (SMALL KIDNEY),4000,3000,3000,2000,500,500,500,1000,1500,4000,5000,5000
ETHIOPIA,WHITE MAIZE,22000,20000,20000,15000,10000,8000,5000,5000,3000,2000,20000,20000
